,id,id_cart,id_currency,id_customer,current_state,order_rows,total_paid,total_products
0,8,113,1,16,6,93600282,89.490000,67.350000
1,10,162,1,24,5,93600572,87.000000,71.900000
2,11,174,1,25,5,93600041,62.190000,51.400000
3,12,177,1,27,5,93600227,51.430000,42.500000
4,13,185,1,28,5,5206708,207.260000,171.290000
5,14,191,1,29,5,93600714;2926008;2872810,217.900000,180.080000
6,15,199,1,29,5,93600885;93600887;93600307,67.300000,55.620000
7,16,200,1,30,5,93600500,84.940000,84.940000
8,18,212,1,33,5,93600541,299.940000,247.880000
9,19,214,1,24,5,93600914,410.850000,339.550000
10,20,198,1,31,5,93600052,38.700000,25.370000
11,21,236,1,36,5,5152509,292.620000,241.830000
12,22,235,1,35,5,93600708,82.730000,68.370000
13,23,238,1,37,5,93600126,257.190000,212.550000
14,24,240,1,38,5,93600715;93600750,47.050000,32.280000
15,25,254,1,37,5,93600545,289.040000,238.880000
16,26,255,1,40,5,54631,273.100000,225.700000
17,28,257,1,41,5,5153804,139.940000,115.650000
18,29,264,1,43,5,93600931,59.950000,49.550000
19,30,277,1,44,5,93600994,299.940000,247.880000
20,31,279,1,45,5,93600693,148.920000,123.070000
21,32,288,1,47,5,2978207,136.530000,112.830000
22,33,291,1,48,5,93600952,699.910000,578.440000
23,34,292,1,49,5,93600544,116.800000,96.530000
24,35,296,1,50,5,93604264;93604265,85.670000,70.800000
25,36,301,1,51,5,93600233,222.900000,184.210000
26,37,318,1,53,5,93604357;93604356;93600430,278.790000,233.870000
27,38,324,1,54,5,93604393,30.380000,18.500000
28,39,334,1,57,5,93600930,129.940000,107.390000
29,40,336,1,55,5,2525312,317.460000,262.360000
30,41,340,1,58,5,93600541,299.940000,247.880000
31,42,342,1,59,5,93600055,115.050000,95.080000
32,43,358,1,60,5,93600942,269.940000,223.090000
33,44,367,1,63,5,93600700,231.650000,191.450000
34,45,329,1,65,5,93600498;93604462,109.880000,90.810000
35,46,376,1,66,5,93600546,386.070000,319.070000
36,47,377,1,58,5,93600636,99.940000,82.600000
37,48,365,1,61,5,2872010,37.220000,24.150000
38,49,400,1,68,5,93604301,17.190000,7.600000
39,50,402,1,64,5,93604366;93604362;5806304;93600994;5261295,1396.850000,1154.420000
40,51,416,1,61,5,2872010,37.220000,24.150000
41,52,464,1,76,5,93600265,59.430000,42.500000
42,53,469,1,78,5,93600706,126.850000,104.830000
43,55,486,1,64,5,93604509,108.530000,124.500000
44,56,490,1,82,5,93600418,87.940000,79.940000
45,57,496,1,85,5,57400092,160.920000,132.990000
46,58,506,1,86,5,93600669;6851794,67.900000,49.500000
47,59,567,1,92,6,93604424,49.590000,34.370000
48,60,569,1,93,5,93604424,49.590000,34.370000
49,61,574,1,94,5,93600203,42.290000,28.340000
50,62,556,1,71,6,93604272;2951005;93600739;93600740;93600744;93600741;93600746;93604375;57164;93600742,474.610000,392.240000
51,69,582,1,24,5,93604525;93604524,185.710000,153.480000
52,70,584,1,95,5,93600716,249.820000,206.460000
53,71,591,1,96,5,5173907;93604533;93604541,530.130000,438.130000
54,72,597,1,97,5,93600541,299.940000,247.880000
55,73,598,1,98,5,93604317,77.940000,57.800000
56,74,552,1,61,5,93604319;5167697,139.890000,115.610000
57,75,617,1,24,5,93604649,25.110000,14.140000
58,76,583,1,103,5,93600724,219.940000,181.770000
59,77,628,1,104,5,93600136,93.020000,70.260000
60,78,632,1,103,5,93600700,231.650000,191.450000
61,79,642,1,106,5,2525318;93604488;93600658;5871406;59213,383.260000,316.750000
62,80,640,1,107,5,93604287,67.950000,49.550000
63,81,648,1,108,5,93600225,36.460000,23.520000
64,82,656,1,109,5,93604856;93604540;93604547;93604290;93604210,118.020000,97.540000
65,83,657,1,109,5,93604536,42.220000,28.280000
66,84,661,1,110,5,93601000,37.950000,24.750000
67,85,663,1,111,5,93600693,148.920000,123.070000
68,86,674,1,113,5,93600910;93600911,249.880000,206.510000
69,87,686,1,116,5,93600224,36.590000,23.630000
70,88,689,1,117,5,93604882,191.560000,158.310000
71,89,694,1,119,5,93600894;93600313;93600561,113.350000,93.680000
72,90,707,1,121,5,93600265,59.430000,42.500000
73,91,718,1,122,6,93600706,126.850000,104.830000
74,92,719,1,124,5,93604466,19.830000,9.780000
75,93,727,1,126,5,93604275;93604465;93604209;5167697;93600998;93600889,152.940000,126.400000
76,94,736,1,126,5,29200008;93604895;93604894,131.180000,108.420000
77,95,747,1,122,5,93600706,126.850000,104.830000
78,96,753,1,116,5,93600220,59.430000,42.500000
79,97,749,1,129,5,93600370;93600369,149.830000,123.830000
80,98,756,1,130,5,93600133;93600775,586.320000,484.560000
81,99,759,1,128,5,93600209,65.150000,47.230000
82,100,768,1,106,5,93600712,130.720000,132.180000
83,101,774,1,131,5,93600301;93604494;93604546;93604474,175.070000,144.680000
84,102,784,1,134,5,93600298,116.930000,96.640000
85,103,790,1,129,5,93600369;93600370,149.830000,123.830000
86,104,797,1,135,5,93600354,49.350000,34.170000
87,105,700,1,137,5,93600424;93600428;93600430,179.830000,176.370000
88,106,229,1,62,5,2909809,292.620000,241.830000
89,107,791,1,72,5,5407410;93604245;5173410,654.210000,540.670000
90,108,817,1,138,5,93600710;93600710,595.660000,492.280000
91,109,804,1,136,5,93604438;93600395;93600399;93600397;93604403,349.710000,289.030000
92,110,827,1,139,5,93604897,60.830000,43.660000
93,111,831,1,141,5,93600133;2525298,709.310000,586.210000
94,112,841,1,142,6,93604463,37.890000,24.700000
95,114,856,1,143,5,93604891,135.090000,111.640000
96,115,858,1,144,5,93600601,296.860000,245.340000
97,116,866,1,145,6,93600089,64.970000,47.080000
98,117,869,1,146,5,93604211;93604465,76.470000,56.590000
99,118,878,1,148,5,5173807;93604533,250.240000,206.810000
100,119,881,1,72,5,93600224,43.160000,29.060000
101,120,885,1,145,5,93600085,58.640000,41.850000
102,121,886,1,151,5,58433,195.050000,161.200000
103,122,888,1,152,6,2525268,373.480000,308.660000
104,123,896,1,155,6,93604496,62.340000,44.910000
105,124,903,1,156,5,93600844,69.190000,50.570000
106,125,904,1,148,5,93600907;5261295;93600903;93600910,430.980000,356.180000
107,126,905,1,155,5,93600136;93600223;93604497;93601000,189.920000,208.480000
