,id,categories,name,price,type
0,93600693,1;10027;10032;10000039;10000381,CASCO FXRG® PANORAMIC VISION FULL FACE BY HARLEY DAVIDSON,0.000000,simple
1,93600705,1;10032;10000381,COMMUTER 3/4 HELMET,0.000000,simple
2,93605086,10009;10000031,KIT DE CARENADO INTERIOR CON EMPAREJAMIENTO DE COLORES,0.000000,simple
3,93605126,10081;10086,RETROVISORES CON LUZ TESTIGO INTERMITENTE INDICADORA DE GIRO Y LUCES DE MARCHA AUXILIARES*,0.000000,simple
4,93605165,10006;10007;10008;10009;10010;10117,LUCES ANTINIEBLA MONTADAS EN LA PROTECCIÓN DEL MOTOR,0.000000,simple
5,93605167,10009;10117,KIT DE ALUMBRADO AUXILIAR PERSONALIZADO,0.000000,simple
6,93605440,1,SPORTSTER FORTY-EIGHT 1200,8427.272727,simple
7,93605459,1;9;10029;10034;10036;10040;10000381,PROTECTOR CODOS ANTEBRAZO INTERIOR H-D,26.810000,simple
8,93605970,1;9;10027;10029;10034;10056,MACHINE BOLT HOODED JACKET,216.450000,simple
9,93605989,10000038,CLUTCH SUB-ASSEMBLY,0.000000,simple
